region_name,latitude,longitude
Ilocos Norte,2014307.8726881437,259919.60557115017
Ilocos Sur,1908543.1669601842,239193.18670257373
La Union,1834897.529461681,225176.60791000072
Pangasinan,1770759.4860298363,212371.0826687485
Batanes,2272985.5071616927,384087.88479423063
Cagayan,2000974.717877085,368879.1321397361
Isabela,1878417.9714218176,389406.813672216
Nueva Vizcaya,1803579.3195137053,304671.4615599309
Quirino,1802023.6808711847,349934.41044259025
Bataan,1622310.0156283386,225825.4932225695
Bulacan,1656875.368796734,291215.5736732363
Nueva Ecija,1727844.3138207016,287903.5412634701
Pampanga,1666145.05536983,247063.22513076433
Tarlac,1712821.0332119074,229204.98209334916
Zambales,1691990.0044855045,193266.46188751614
Aurora,1760830.990715771,360774.0276473547
Batangas,1537484.8795472323,287139.1836671329
Cavite,1576998.3258765067,270022.02933429816
Laguna,1575040.386288986,323754.02581190364
Quezon,1566321.960678998,388105.330936272
Rizal,1616719.9992802548,312857.01540948893
Albay,1460413.2954643627,566717.3016286267
Camarines Norte,1563583.0564170505,470612.5156480782
Camarines Sur,1515051.770958625,528462.6862621361
Catanduanes,1524089.0119245858,633658.0671557246
Masbate,1359166.354365823,560111.5651877294
Sorsogon,1421204.477220457,600765.2815243059
Aklan,1283489.0807170356,418030.33380067133
Antique,1230110.5249131187,398243.3723749749
Capiz,1256909.2897583176,459942.2937643921
Iloilo,1216873.9435145136,456918.91127127275
Negros Occidental,1139753.9999621478,498521.7201286824
Guimaras,1168325.6520118539,457779.65001598286
Bohol,1089497.712896533,631323.921865564
Cebu,1144756.6966169304,582638.8471352948
Negros Oriental,1061917.9899059127,503664.6712548916
Siquijor,1015380.9123093621,564670.0453134776
Eastern Samar,1288610.5235928416,759625.2036269242
Leyte,1213700.6152478217,691884.7576219362
Northern Samar,1372680.8197303738,694787.1508942816
Samar,1310281.2486676252,711415.3415631376
Southern Leyte,1138325.893767115,724728.419594648
Biliran,1282372.9058750828,660630.3653941746
Zamboanga del Norte,889735.3422091262,478682.8011321556
Zamboanga del Sur,848826.4171500037,499263.54155074275
Zamboanga Sibugay,850561.2726356398,469719.75068679947
City of Isabela (Not a Province),735237.0961726384,388009.6847135278
Bukidnon,886893.0532527792,721204.5716388287
Camiguin,1014318.6342823622,688741.5994270642
Lanao del Norte,887394.1057914636,614359.18609936
Misamis Occidental,920181.4473349437,576004.2912479206
Misamis Oriental,954700.8064405298,697125.8255767847
Davao del Norte,839327.5856269017,791564.331740028
Davao del Sur,776173.9910652895,759099.6759840805
Davao Oriental,802834.978369649,864273.497588364
Davao de Oro,838265.875901025,833619.711129084
Davao Occidental,674698.1498563933,781200.0659720005
Cotabato,797239.1314203658,706527.312377912
South Cotabato,695027.4328800392,705018.5153699296
Sultan Kudarat,722572.5274600238,658255.5236653694
Sarangani,670276.9288629027,738904.4231277041
"NCR, City of Manila, First District (Not a Province)",1615115.7452118073,282986.00025240105
"NCR, Second District (Not a Province)",1621276.8213846274,291790.49755272386
"NCR, Third District (Not a Province)",1627330.4235220496,284038.99121842696
"NCR, Fourth District (Not a Province)",1601735.144750724,287195.47483729414
Abra,1944866.8655472463,266841.5837074934
Benguet,1830351.9503695187,254417.93211162364
Ifugao,1863657.2114388552,308976.3673068408
Kalinga,1928053.3241258496,317256.27255026286
Mountain Province,1891724.6183330975,300930.8503239516
Apayao,2002805.7550677385,308221.93699900364
Agusan del Norte,999270.0918891627,778763.870409707
Agusan del Sur,931938.8201372831,800539.6041010909
Surigao del Norte,1070218.4380250676,800429.5066181091
Surigao del Sur,971491.8564492431,842559.7488560139
Dinagat Islands,1125451.7472057743,785158.0120289314
Marinduque,1480639.2422813002,388683.6701956445
Occidental Mindoro,1434949.6156469886,271465.68735803023
Oriental Mindoro,1434015.489134397,311641.4054669142
Palawan,1105445.207828095,32348.460467463705
Romblon,1374853.4042484595,416803.26197186613
Basilan,725816.1536145312,392659.1985535046
Lanao del Sur,862054.5213058366,647333.3689767767
Sulu,658412.8138848405,284593.99385724834
Tawi-Tawi,579989.2448513657,156376.5135822672
Maguindanao del Norte,794674.5030107435,637274.8884687728
Maguindanao del Sur,759615.9507251879,669194.2127249661
,789853.730625107,683039.0724768168
